StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0,0,4,2,2,300,3,2,0,0,3,2,1,1,2
1,1,1,0,2,3,1,0,295,1,0,0,1,1,1,2
2,2,1,1,1,0,301,0,2,1,0,0,0,0,0,0
3,0,0,2,2,1,2,1,290,0,1,1,2,1,3,1
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0
6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
8,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
9,1,1,0,1,1,0,1,0,0,0,1,3,0,0,1
10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
11,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
13,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1
64,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
68,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
257,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
258,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
259,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0
265,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2593,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2597,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2601,0,0,1,2,1,5,1,0,0,1,0,0,1,0,0
2625,0,3,0,1,0,1,1,1,1,2,1,0,0,294,0
2629,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2633,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
2857,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2881,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
2889,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
5136,1,2,0,1,1,1,1,2,1,1,1,1,3,292,1
5137,1,1,1,0,0,1,0,0,0,1,1,1,3,0,1
5138,3,0,0,0,2,3,2,0,0,0,0,297,1,2,0
5139,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5140,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
5141,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1
5144,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5145,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5168,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5169,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
5173,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
5177,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1
5181,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
