StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0.00,0.00,28.97,0.22,3.63,129.50,17.66,0.64,0.00,0.00,7.63,-0.15,11.05,10.00,19.85
1,4.77,0.13,0.00,0.08,7.82,3.95,0.00,111.12,3.68,0.00,0.00,1.95,0.15,10.00,5.19
2,11.53,-0.05,11.60,-0.05,0.00,129.50,0.00,8.41,10.81,0.00,0.00,0.00,0.00,0.00,0.00
3,0.00,0.00,7.69,0.81,4.15,8.41,8.72,100.00,0.00,-0.05,7.23,19.00,8.44,27.15,7.90
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,-0.05,0.00,0.00,-0.05,0.00,0.00,-0.05,0.00,3.88,0.00,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,3.95,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,14.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
9,-0.05,-0.05,0.00,-0.05,-0.55,0.00,-0.05,0.00,0.00,0.00,-0.55,6.19,0.00,0.00,-0.30
10,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,3.95,-0.55,0.00,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,19.00,0.00,0.00,0.00
13,-0.05,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,19.02,-0.30
64,0.00,0.00,0.68,0.00,0.00,0.00,27.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,0.00,0.00,-0.05,0.00,0.00,7.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00
257,0.00,0.00,0.00,0.00,0.00,3.95,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.39,0.00,0.00,0.00,-1.05,0.00,0.00
259,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
