StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0.00,0.00,20.60,0.00,29.49,235.60,6.44,-0.60,0.00,0.28,20.50,-0.60,3.11,-0.60,0.00
1,0.00,0.31,8.84,-0.25,7.51,235.60,7.17,0.00,-0.60,0.00,10.92,0.00,2.31,0.00,10.35
2,22.70,-0.60,0.00,-0.43,-0.39,0.00,0.00,259.00,18.54,0.00,0.00,0.00,18.21,0.00,0.00
3,0.00,-0.60,43.80,-0.60,0.70,7.90,0.00,20.00,2.82,-0.60,0.00,200.00,0.00,-1.14,15.43
4,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00
5,0.00,0.00,6.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,-0.60,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,15.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0.00,0.00,24.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.17,-0.60,0.00,-0.60
10,0.00,-0.60,0.00,-0.60,0.00,0.00,-0.60,7.90,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,-0.60
12,0.00,0.00,0.00,0.00,0.00,15.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0.00,0.00,-0.60,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00,7.90,-0.60,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,0.00
64,0.00,0.00,-0.60,-0.60,0.00,7.90,0.00,-0.60,-0.60,-0.60,0.00,0.00,0.00,0.00,0.00
68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00
72,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00,0.00,0.00
128,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00
130,0.00,0.00,0.00,0.00,0.00,7.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,0.00,0.00,-0.60,13.95,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00,0.00,-0.60,-0.60
139,0.00,-0.60,0.00,0.00,-1.10,0.00,-0.60,0.00,-0.60,13.95,0.00,0.00,0.00,0.00,0.00
256,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,29.31,0.00,-0.60,0.00,0.00,0.00,-0.60
257,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
259,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00
260,0.00,0.00,0.00,0.00,0.00,15.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.14
261,0.00,0.00,0.00,-0.60,-1.10,0.00,-0.60,0.00,0.00,0.00,0.00,3.90,-0.60,0.00,-0.60
262,-0.60,0.00,0.00,0.00,0.00,36.58,-0.60,0.00,0.00,0.00,-0.60,0.00,-1.14,0.00,0.00
288,0.00,0.00,0.00,0.00,-1.10,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
320,0.00,13.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
324,0.00,0.00,0.00,0.00,0.00,9.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
384,0.00,0.00,0.00,0.00,0.00,7.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
385,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00
386,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
387,0.00,0.00,0.00,0.00,0.00,15.01,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
