StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0,0,1,0,2,302,1,1,0,1,1,1,1,1,0
1,0,2,1,1,1,301,1,0,1,0,2,0,1,0,1
2,1,1,0,2,1,0,0,298,1,0,0,0,1,0,0
3,0,1,3,1,1,1,0,1,1,1,0,295,0,2,1
4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0
6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1
10,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
32,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
64,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
128,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1
139,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0
256,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1
257,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
260,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
261,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
262,1,0,0,0,0,4,1,0,0,0,1,0,2,0,0
288,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
320,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
387,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
2601,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
2629,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2637,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3009,0,0,1,0,0,3,1,1,0,1,1,0,0,0,0
5136,3,3,2,3,3,2,3,3,5,287,2,2,3,3,2
5137,2,290,2,3,1,2,3,3,4,2,1,2,2,2,2
5139,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5140,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1
5141,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
5142,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1
5144,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
5145,0,2,0,1,1,1,2,1,1,287,1,1,0,1,0
5148,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
5149,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
5150,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5168,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1
5169,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1
5172,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5176,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5177,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
5181,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5186,2,0,2,1,0,293,1,1,0,1,2,2,1,1,1
5190,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5194,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5200,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
5201,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
5204,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0
5205,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5208,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
5209,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
5212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5232,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5240,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
