StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0.00,0.00,10.35,0.00,14.41,115.55,2.91,-0.55,0.00,-0.14,10.30,-0.05,1.80,-0.05,0.00
1,0.00,-0.26,4.57,0.17,3.67,115.55,3.27,0.00,-0.55,0.00,5.84,0.00,1.41,0.00,5.05
2,11.10,-0.55,0.00,0.26,-0.19,0.00,0.00,129.50,9.02,0.00,0.00,0.00,9.35,0.00,0.00
3,0.00,-0.55,22.58,-0.05,0.35,3.95,0.00,10.00,1.16,-0.55,0.00,100.00,0.00,-0.10,7.72
4,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00
5,0.00,0.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,-0.05,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,7.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0.00,0.00,12.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.68,-0.05,0.00,-0.30
10,0.00,-0.55,0.00,-0.05,0.00,0.00,-0.55,3.95,-0.55,0.00,0.00,0.00,0.00,0.00,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.30
12,0.00,0.00,0.00,0.00,0.00,7.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0.00,0.00,-0.05,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00,3.95,-0.55,0.00,-0.55,-0.55,0.00,0.00,0.00,0.00,0.00
64,0.00,0.00,-0.05,-0.05,0.00,3.95,0.00,-0.55,-0.55,-0.55,0.00,0.00,0.00,0.00,0.00
68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00
72,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,-0.05,0.00,0.00,0.00,0.00
128,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00
130,0.00,0.00,0.00,0.00,0.00,3.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,0.00,0.00,-0.05,3.95,0.00,0.00,-0.55,0.00,0.00,-0.55,0.00,0.00,0.00,-0.05,-0.30
139,0.00,-0.55,0.00,0.00,-0.55,0.00,-0.55,0.00,-0.55,10.00,0.00,0.00,0.00,0.00,0.00
256,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,13.87,0.00,-0.05,0.00,0.00,0.00,-0.30
257,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
259,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00
260,0.00,0.00,0.00,0.00,0.00,7.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57
261,0.00,0.00,0.00,-0.05,-0.55,0.00,-0.55,0.00,0.00,0.00,0.00,1.95,-0.05,0.00,-0.30
262,-0.55,0.00,0.00,0.00,0.00,18.29,-0.55,0.00,0.00,0.00,-0.05,0.00,-0.10,0.00,0.00
288,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00
320,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
324,0.00,0.00,0.00,0.00,0.00,4.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
384,0.00,0.00,0.00,0.00,0.00,3.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
385,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00
386,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00
387,0.00,0.00,0.00,0.00,0.00,7.51,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2601,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.39,-1.64,0.00,0.00,0.00,0.00
2629,0.00,0.00,0.00,0.00,0.00,0.00,-1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2637,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00
3009,0.00,0.00,-0.05,0.00,0.00,5.28,-1.87,-0.55,0.00,-0.55,-0.05,0.00,0.00,0.00,0.00
5136,5.99,-1.49,-0.14,-0.14,1.62,-1.09,3.37,-1.49,-0.39,84.50,-0.10,-0.10,6.80,0.76,-0.62
5137,6.36,84.50,-0.14,-0.14,-3.69,-1.05,6.11,-1.41,3.72,-1.05,-0.05,-0.10,0.57,-0.10,3.75
5139,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00
5140,-0.55,-0.55,0.00,-0.05,-4.05,-0.55,-0.55,-0.55,-0.55,-0.55,0.00,-0.05,0.00,0.00,-0.30
5141,0.00,-0.55,0.00,0.00,-4.05,0.00,0.00,-0.55,0.00,-0.55,0.00,0.00,-0.05,0.00,0.00
5142,-0.55,-0.55,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,-0.05,0.00,0.00,10.00,-0.30
5144,0.00,0.00,0.00,0.00,-4.05,-0.55,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,-0.05,0.00
5145,0.00,16.05,0.00,-0.05,-4.05,8.45,12.92,-0.55,6.95,100.00,8.75,0.03,0.00,0.85,0.00
5148,0.00,0.00,0.00,0.00,-3.69,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,10.00,0.00
5149,0.00,-0.55,0.00,-0.05,0.00,0.00,0.00,-0.55,0.00,10.00,0.00,0.00,0.00,0.00,0.00
5150,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5168,0.00,-0.55,-0.05,0.00,0.00,-0.55,-0.55,0.00,-0.55,-0.55,0.00,0.00,0.00,-0.05,-0.30
5169,-0.55,0.00,0.00,-0.05,0.00,-0.55,-0.55,0.00,0.00,0.00,6.85,0.00,-0.05,0.00,-0.30
5172,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00
5176,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00
5177,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.71,0.00,0.00,0.00,0.00
