StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,0.00,7.90,20.22,-0.62,19.96,231.30,0.00,0.00,0.00,-0.60,0.00,27.42,17.72,26.52,9.20
1,0.00,7.90,4.78,13.66,5.65,17.71,0.00,231.30,15.52,3.90,33.85,13.95,20.22,13.95,16.74
2,0.00,7.90,1.87,7.90,4.15,0.00,0.00,231.30,30.17,0.00,0.00,22.32,0.00,0.00,11.66
3,19.72,7.90,7.19,38.00,20.22,0.00,0.00,231.30,0.00,20.00,31.35,0.00,18.46,13.95,7.19
8,0.00,15.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60
16,0.00,0.00,16.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00
2569,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,22.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2577,0.00,0.00,0.00,-0.60,-0.60,0.00,-0.60,0.00,0.00,0.00,0.00,34.95,-0.60,0.00,-0.60
5124,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
5125,-1.85,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00
5126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
5127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00
5132,-7.39,0.00,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00
5133,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,-0.60,-0.60,-0.60,0.00,0.00,0.00,0.00
5138,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00
5140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
5148,0.00,0.00,0.00,0.00,0.00,20.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5664,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00
5665,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5667,0.00,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5672,0.00,0.00,0.57,0.00,0.00,19.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5681,0.00,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,2.10,0.00,0.00,0.00,-0.10
5696,-0.35,0.00,0.00,0.00,0.00,19.38,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00
5697,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00
5698,0.00,0.00,-0.31,102.00,0.00,10.20,-0.40,10.20,1.57,0.00,0.00,0.00,8.02,0.00,0.00
5705,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.48,0.00,0.00,0.00,0.00,0.00
5713,0.00,0.00,0.00,0.00,1.39,27.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7297,16.71,10.20,17.19,0.31,7.40,2.66,4.33,9.01,15.52,-0.35,16.90,102.00,6.73,10.20,0.00
7298,8.24,10.20,0.00,19.38,5.38,0.00,6.16,16.23,0.00,102.00,0.00,19.38,13.22,0.00,-0.10
7299,16.50,102.00,0.00,27.64,11.19,0.00,0.00,9.66,0.00,0.00,-0.30,27.64,0.00,0.00,9.08
7305,0.00,0.00,0.00,0.00,0.00,0.29,-10.97,2.10,0.00,0.00,0.00,0.00,0.00,0.00,-0.09
7313,0.00,0.00,0.00,0.00,0.00,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.19
7424,2.14,10.20,0.00,1.00,-11.66,0.00,0.00,0.00,0.00,0.00,0.57,10.20,0.00,102.00,-0.04
7425,2.14,102.00,16.75,0.15,-12.79,0.00,3.61,0.16,8.83,0.00,0.00,0.00,0.00,19.38,0.00
7440,0.00,0.00,0.00,0.15,-14.05,0.00,0.42,2.98,0.00,0.00,0.00,10.20,0.00,0.00,0.00
7441,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00
7553,0.00,0.00,0.00,0.00,0.00,0.00,25.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7561,-0.35,0.00,0.00,0.00,0.00,0.59,0.00,0.00,-0.35,0.00,-0.35,0.00,0.00,0.00,0.00
7568,0.00,27.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,0.00,1.39,0.00,0.00
7569,0.00,0.00,0.00,0.61,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.38,0.00
