StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,0,1,1,2,1,296,0,0,0,1,0,2,2,2,1
1,0,1,1,3,1,1,0,297,1,1,2,1,1,1,2
2,0,1,1,1,1,0,0,298,2,0,0,1,0,0,1
3,1,1,1,2,1,0,0,295,0,1,2,0,1,1,1
8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
2569,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2577,0,0,0,1,1,0,1,0,0,0,0,3,1,0,1
5124,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5125,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5127,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5132,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
5133,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
5138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5140,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5148,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5664,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5665,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5672,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
5681,0,1,0,0,0,0,0,0,1,0,15,0,0,0,1
5696,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0
5697,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5698,0,0,1,299,0,1,2,1,11,0,0,0,2,0,0
5705,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
5713,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
7297,2,1,2,2,6,2,3,1,2,1,3,287,1,1,0
7298,1,1,0,2,1,0,1,2,0,292,0,2,2,0,1
7299,3,289,0,3,10,0,0,3,0,0,1,3,0,0,1
7305,0,0,0,0,0,2,1,15,0,0,0,0,0,0,1
7313,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
7424,1,1,0,5,1,0,0,0,0,0,1,1,0,288,1
7425,1,300,19,1,1,0,2,1,1,0,0,0,0,2,0
7440,0,0,0,1,1,0,1,3,0,0,0,1,0,0,0
7441,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7553,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
7561,1,0,0,0,0,4,0,0,1,0,1,0,0,0,0
7568,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0
7569,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0
