StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,0.00,3.95,8.61,-0.71,8.59,101.80,0.00,0.00,0.00,-0.05,0.00,8.41,10.02,7.50,6.19
1,0.00,3.95,3.15,5.86,3.68,10.07,0.00,101.80,8.16,1.95,16.36,3.95,9.11,3.95,8.08
2,0.00,3.95,1.16,3.95,2.55,0.00,0.00,101.80,15.36,0.00,0.00,12.15,0.00,0.00,6.47
3,8.61,3.95,4.17,19.00,8.61,0.00,0.00,101.80,0.00,10.00,15.36,0.00,8.81,3.95,4.42
8,0.00,7.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
16,0.00,0.00,9.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00
2569,0.36,0.00,0.00,0.00,0.00,0.00,0.00,19.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2577,0.00,0.00,0.00,-0.55,-0.55,0.00,-0.55,0.00,0.00,0.00,0.00,7.80,-0.05,0.00,-0.30
5124,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
5125,0.18,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00
5126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00
5127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00
5132,-3.69,0.00,0.00,-0.55,-0.55,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00
5133,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,-0.05,-0.05,-0.05,0.00,0.00,0.00,0.00
5138,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00
5140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00
5148,0.00,0.00,0.00,0.00,0.00,10.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5664,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00
5665,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5667,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5672,0.00,0.00,0.35,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5681,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.08,0.00,-0.70,0.00,0.00,0.00,-0.30
5696,-0.55,0.00,0.00,0.00,0.00,19.00,0.00,0.00,-0.20,0.00,0.00,0.00,0.00,0.00,0.00
5697,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00
5698,0.00,0.00,-0.56,100.00,0.00,10.00,-1.13,10.00,-0.52,0.00,0.00,0.00,7.38,0.00,0.00
5705,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.83,0.00,0.00,0.00,0.00,0.00
5713,0.00,0.00,0.00,0.00,1.16,27.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7297,0.72,0.20,0.71,0.42,1.21,0.50,-6.93,0.37,0.70,0.20,0.89,2.00,0.34,0.20,0.00
7298,0.37,0.20,0.00,0.38,0.30,0.00,-0.93,0.69,0.00,2.00,0.00,0.38,0.65,0.00,0.20
7299,0.90,2.00,0.00,0.54,1.83,0.00,0.00,0.83,0.00,0.00,0.27,0.54,0.00,0.00,0.38
7305,0.00,0.00,0.00,0.00,0.00,0.38,-9.09,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.22
7313,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38
7424,0.25,0.20,0.00,0.93,-8.29,0.00,0.00,0.00,0.00,0.00,0.22,0.20,0.00,2.00,0.27
7425,0.25,2.00,3.21,0.20,-9.10,0.00,0.67,0.22,0.38,0.00,0.00,0.00,0.00,0.38,0.00
7440,0.00,0.00,0.00,0.20,-10.00,0.00,0.25,0.59,0.00,0.00,0.00,0.20,0.00,0.00,0.00
7441,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00
7553,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7561,0.20,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00
7568,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.00,0.00
7569,0.00,0.00,0.00,0.81,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00
