StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,1,3,1,295,1,1,0,0,1,0,0,1,1
1,1,1,0,296,1,3,1,1,0,2,0,1,2
2,0,1,0,296,0,2,1,1,1,0,0,1,1
3,0,0,2,298,1,0,1,0,0,2,0,0,0
4,0,0,0,3,0,0,0,0,0,0,0,0,0
5,1,0,0,4,0,0,1,1,0,0,1,0,0
6,0,0,0,2,0,0,0,0,0,0,1,0,0
32,0,0,0,1,0,0,0,0,0,0,0,0,0
129,0,1,0,3,0,0,1,0,0,0,0,0,0
130,0,0,0,1,0,0,0,0,0,0,0,0,0
1297,0,0,0,2,0,0,0,0,0,0,0,0,0
1313,0,0,0,3,0,0,0,0,0,0,0,0,0
1317,0,0,0,1,0,0,0,0,0,0,0,0,0
1425,0,0,0,1,0,0,0,0,0,0,0,0,0
1441,1,0,0,1,0,0,0,0,0,0,0,0,0
2568,1,2,0,1,1,2,2,1,0,0,1,290,0
2569,1,0,2,1,1,3,1,0,1,1,1,290,2
2570,0,1,1,2,2,290,2,3,2,1,0,0,3
2571,1,2,0,2,1,0,3,0,1,0,1,296,0
2572,0,0,0,0,0,1,0,0,0,0,0,4,0
2573,0,0,1,1,0,0,0,3,0,0,0,0,0
2574,0,0,0,0,0,2,0,0,0,1,0,0,0
2575,0,0,0,0,0,2,0,0,0,0,0,0,0
2585,0,0,0,0,0,0,0,0,0,0,0,4,0
2594,0,0,0,1,0,0,0,1,0,0,0,0,0
2600,0,0,0,0,0,0,0,0,0,0,0,3,0
2601,0,0,0,0,0,0,0,0,0,0,0,6,0
2604,0,0,0,0,0,0,0,0,0,0,0,1,0
2605,0,0,0,0,0,0,0,1,0,0,0,0,0
2696,0,0,0,0,0,0,0,1,0,0,0,1,0
2697,0,3,0,0,0,0,0,0,0,0,0,0,0
2698,0,1,0,0,0,0,0,0,0,3,0,0,0
2713,0,0,0,0,0,0,1,0,0,0,0,0,0
2722,0,0,0,1,0,0,0,0,0,0,0,0,0
2729,0,0,0,0,0,0,0,0,0,1,0,0,0
2745,0,0,0,0,0,0,0,0,0,0,0,1,0
2880,0,0,0,0,0,1,0,0,0,0,0,0,0
2881,0,1,0,0,0,0,0,0,0,0,0,0,0
2882,0,2,0,0,0,0,0,0,0,0,0,0,0
2885,0,0,0,0,0,0,0,0,0,9,0,0,0
2886,0,0,0,0,0,0,0,0,0,1,1,0,1
2901,0,0,0,0,0,0,0,0,8,0,0,0,1
2912,2,8,0,0,0,0,0,0,0,0,0,0,0
2916,7,0,0,0,0,0,0,0,0,0,0,0,1
3010,2,298,0,1,1,0,1,1,3,0,0,3,2
3717,4,1,0,287,0,18,4,3,2,1,5,0,62
3733,1,0,0,0,0,0,0,0,0,0,0,0,0
3749,1,0,2,0,15,3,1,0,0,0,1,0,1
