StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,2,2,2,1,2,294,3,1,1,0,0,2,0,0,1
1,1,0,0,1,1,296,1,2,0,1,0,1,1,0,0
2,1,2,2,4,0,290,1,2,1,0,0,1,1,1,0
3,0,0,2,2,3,297,0,1,0,0,1,0,1,2,0
4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2605,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2625,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5136,1,1,0,1,0,1,1,3,0,1,0,3,0,285,1
5137,1,2,1,1,1,0,1,1,0,0,1,1,0,290,0
5138,2,1,1,2,0,0,2,287,1,0,1,0,1,0,0
5139,0,2,0,1,2,3,0,1,0,2,1,2,0,287,1
5140,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5141,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
5142,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
5143,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5144,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5145,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5146,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
5147,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0
5148,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5149,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5154,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5168,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
5169,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5172,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5173,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5181,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5186,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5200,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
5201,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5205,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5233,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
5237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5245,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5392,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5393,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5395,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5397,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5398,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5399,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5403,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5762,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5763,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5765,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5766,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
5767,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
5771,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
5773,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
5774,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5775,9,0,3,0,0,0,0,0,0,1,0,0,0,0,0
5805,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6018,1,294,2,3,2,1,1,1,2,1,2,0,0,1,1
6021,0,0,0,292,1,1,0,1,2,1,2,2,2,0,0
6022,1,1,1,290,0,0,1,1,0,0,0,1,1,3,0
6026,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6053,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6085,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
