StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,0,296,1,2,1,1,4,1,0,3,3,1,0,1,0
1,3,298,1,2,2,1,0,3,0,1,1,1,3,0,1
2,0,295,1,1,2,0,1,3,2,0,0,3,0,2,1
3,2,295,0,3,3,0,0,2,1,0,0,3,1,1,0
8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2569,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2577,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5124,1,2,2,2,0,0,0,1,1,0,1,292,0,0,0
5125,1,1,2,3,3,1,4,1,1,1,1,289,1,2,0
5126,0,2,0,2,1,291,1,0,0,1,2,1,1,0,0
5127,3,0,0,2,0,1,0,1,0,288,1,0,0,0,0
5132,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5133,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5140,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
5141,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0
5664,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5666,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1
5667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5696,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5697,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5698,0,0,0,2,1,0,2,0,2,301,0,0,0,0,1
5699,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
7296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7297,0,0,2,6,0,2,1,0,0,0,0,0,0,1,6
7298,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1
7299,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7313,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1
7424,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7425,1,294,1,2,4,2,1,3,0,0,1,1,0,1,17
7441,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
7553,1,0,0,2,0,0,3,0,0,0,1,0,0,0,0
7569,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
