StateIndex,SetAuxA=OFF,SetAuxA=ON,SetAuxB=OFF,SetAuxB=ON,SetBreaker=OFF,SetBreaker=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
0,9,6,8,8,5,4,4,2,4,503,3
1,3,3,8,2,2,1,1,2,2,1,1
2,2,2,2,3,2,1,1,2,1,2,1
3,2,1,1,1,1,1,0,1,1,0,1
4,4,9,7,495,5,2,4,4,2,1,3
5,7,2,3,4,2,0,1,491,2,2,1
6,1,2,1,1,1,1,1,1,1,5,1
7,0,0,0,0,0,0,0,0,0,4,0
8,5,5,4,490,2,4,5,6,2,1,2
9,2,2,2,1,4,486,3,3,3,1,0
10,1,1,1,1,1,3,1,1,2,2,1
11,2,2,1,2,1,1,1,1,1,1,1
12,0,9,0,1,1,0,1,0,1,0,1
13,8,4,4,2,0,2,4,1,10,966,6
14,0,0,0,1,0,1,0,0,1,12,1
15,0,0,0,0,1,0,0,1,0,5,0
16,7,4,8,2,4,999,7,6,3,1,11
17,0,1,2,1,0,0,2,1,0,1,1
18,0,0,1,1,1,2,0,2,2,1,1
19,0,0,0,1,1,2,1,0,0,1,0
20,6,6,6,5,8,5,8,1483,5,5,6
21,0,0,7,0,0,1,0,0,0,0,0
22,0,0,0,0,1,1,0,12,0,1,0
23,0,0,0,0,0,0,0,6,0,0,1
24,0,0,0,1,1,6,1,1,0,1,0
25,0,0,1,0,0,0,1,0,1,1,0
26,0,0,0,1,0,4,0,0,0,0,0
27,0,0,1,0,0,0,0,0,1,0,0
