StateIndex,SetAwning=OFF,SetAwning=ON,SetStrongLamp=OFF,SetStrongLamp=ON,SetWeakLamp=OFF,SetWeakLamp=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,DO_NOTHING
0,2,2,4,308,6,1,1,4,1
1,0,1,0,4,0,0,0,0,0
2,1,0,0,0,2,0,1,301,1
3,0,0,0,0,1,0,0,3,1
4,2,0,0,0,0,1,0,0,0
5,1,0,1,0,1,1,0,0,0
6,0,0,0,2,0,0,0,0,0
8,0,0,0,0,0,0,5,0,0
12,0,0,0,1,1,0,0,1,1
13,0,0,0,1,1,0,0,1,1
73,4,0,0,3,2,300,2,1,0
78,2,2,1,1,1,300,1,1,2
203,2,300,2,1,0,0,3,3,1
218,0,0,0,1,0,0,0,0,0
224,4,11,8,4,6,603,4,4,9
225,4,4,2,3,2,296,3,4,4
226,2,2,1,2,2,2,1,2,2
228,7,1,1,0,1,1,0,3,2
229,1,1,1,0,1,1,1,2,0
230,1,1,1,2,1,2,2,1,2
232,2,1,1,1,0,1,2,1,0
233,1,1,5,1,0,1,1,0,1
234,2,4,294,1,1,2,4,2,0
235,1,0,1,1,1,0,0,0,1
236,1,1,1,2,2,2,1,1,3
237,1,0,1,0,2,1,1,0,0
238,1,1,4,1,1,1,1,1,1
240,2,6,586,4,10,7,4,3,3
241,2,3,291,0,0,1,1,2,1
242,0,1,1,1,2,1,1,0,1
244,1,1,5,0,0,0,0,1,0
245,0,0,4,0,0,0,0,0,0
246,1,1,2,1,0,1,0,0,0
248,0,1,3,0,0,1,1,1,0
249,1,2,0,0,1,0,0,1,0
250,0,0,1,1,1,2,1,0,2
252,1,0,2,0,0,0,0,0,0
253,0,0,3,0,0,1,0,1,1
254,0,0,0,0,1,0,0,0,1
