Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
0,20,-120.00,0.00,0,0.300000,8,12,1
1,13,108.00,0.00,1,0.299100,8,2,2
2,7,159.00,0.00,1,0.298203,3,3,3
3,3,188.00,0.00,1,0.297308,1,0,4
4,17,84.00,0.00,1,0.296416,9,7,6
5,0,0.00,0.00,1,0.295527,0,0,8
6,8,138.00,0.00,1,0.294640,5,2,1
7,20,-125.00,0.00,0,0.293756,9,6,2
8,6,180.00,0.00,1,0.292875,1,1,3
9,3,183.00,0.00,1,0.291997,1,1,4
10,2,199.00,0.00,1,0.291121,0,0,6
11,0,0.00,0.00,1,0.290247,0,0,8
12,20,-110.00,0.00,0,0.289376,8,5,1
13,4,187.00,0.00,1,0.288508,1,0,2
14,3,188.00,0.00,1,0.287643,1,0,3
15,12,149.00,0.00,1,0.286780,3,3,4
16,1,200.00,0.00,1,0.285920,0,0,6
17,0,0.00,0.00,1,0.285062,0,0,8
18,20,-55.00,0.00,0,0.284207,2,4,1
19,4,187.00,0.00,1,0.283354,1,1,2
20,6,170.00,0.00,1,0.282504,2,2,3
21,2,189.00,0.00,1,0.281656,1,0,4
22,5,171.00,0.00,1,0.280811,2,1,6
23,0,0.00,0.00,1,0.279969,0,0,8
24,20,-45.00,0.00,0,0.279129,2,3,1
25,4,177.00,0.00,1,0.278292,2,1,2
26,3,188.00,0.00,1,0.277457,1,0,3
27,2,189.00,0.00,1,0.276624,1,0,4
28,1,200.00,0.00,1,0.275795,0,0,6
29,0,0.00,0.00,1,0.274967,0,0,8
30,8,163.00,0.00,1,0.274142,3,1,1
31,3,188.00,0.00,1,0.273320,1,0,2
32,5,186.00,0.00,1,0.272500,1,0,3
33,4,187.00,0.00,1,0.271682,1,0,4
34,3,198.00,0.00,1,0.270867,0,2,6
35,0,0.00,0.00,1,0.270055,0,0,8
36,20,-60.00,0.00,0,0.269245,3,3,1
37,7,154.00,0.00,1,0.268437,4,2,2
38,3,188.00,0.00,1,0.267632,1,0,3
39,3,178.00,0.00,1,0.266829,2,1,4
40,4,177.00,0.00,1,0.266028,2,0,6
41,0,0.00,0.00,1,0.265230,0,0,8
42,12,144.00,0.00,1,0.264434,4,1,1
43,3,188.00,0.00,1,0.263641,1,0,2
44,3,188.00,0.00,1,0.262850,1,0,3
45,2,189.00,0.00,1,0.262062,1,0,4
46,1,200.00,0.00,1,0.261275,0,0,6
47,0,0.00,0.00,1,0.260492,0,0,8
48,20,-60.00,0.00,0,0.259710,4,1,1
49,4,177.00,0.00,1,0.258931,2,1,2
