Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
0,2,199.00,0.00,1,0.300000,0,0,1
1,0,0.00,0.00,1,0.299100,0,0,2
2,14,157.00,0.00,1,0.298203,2,6,1
3,0,0.00,0.00,1,0.297308,0,0,2
4,2,199.00,0.00,1,0.296416,0,1,1
5,0,0.00,0.00,1,0.295527,0,0,2
6,1,200.00,0.00,1,0.294640,0,0,1
7,0,0.00,0.00,1,0.293756,0,0,2
8,1,200.00,0.00,1,0.292875,0,0,1
9,0,0.00,0.00,1,0.291997,0,0,2
10,1,200.00,0.00,1,0.291121,0,0,1
11,0,0.00,0.00,1,0.290247,0,0,2
12,1,200.00,0.00,1,0.289376,0,0,1
13,0,0.00,0.00,1,0.288508,0,0,2
14,14,177.00,0.00,1,0.287643,0,3,1
15,0,0.00,0.00,1,0.286780,0,0,2
16,1,200.00,0.00,1,0.285920,0,0,1
17,0,0.00,0.00,1,0.285062,0,0,2
18,4,197.00,0.00,1,0.284207,0,0,1
19,0,0.00,0.00,1,0.283354,0,0,2
20,20,156.00,0.00,1,0.282504,1,6,1
21,0,0.00,0.00,1,0.281656,0,0,2
22,1,200.00,0.00,1,0.280811,0,0,1
23,0,0.00,0.00,1,0.279969,0,0,2
24,1,200.00,0.00,1,0.279129,0,0,1
25,0,0.00,0.00,1,0.278292,0,0,2
26,1,200.00,0.00,1,0.277457,0,0,1
27,0,0.00,0.00,1,0.276624,0,0,2
28,3,198.00,0.00,1,0.275795,0,2,1
29,0,0.00,0.00,1,0.274967,0,0,2
30,18,173.00,0.00,1,0.274142,0,4,1
31,0,0.00,0.00,1,0.273320,0,0,2
32,1,200.00,0.00,1,0.272500,0,0,1
33,0,0.00,0.00,1,0.271682,0,0,2
34,1,200.00,0.00,1,0.270867,0,0,1
35,0,0.00,0.00,1,0.270055,0,0,2
36,1,200.00,0.00,1,0.269245,0,0,1
37,0,0.00,0.00,1,0.268437,0,0,2
38,12,189.00,0.00,1,0.267632,0,0,1
39,0,0.00,0.00,1,0.266829,0,0,2
40,1,200.00,0.00,1,0.266028,0,0,1
41,0,0.00,0.00,1,0.265230,0,0,2
42,1,200.00,0.00,1,0.264434,0,0,1
43,0,0.00,0.00,1,0.263641,0,0,2
44,20,-30.00,0.00,0,0.262850,0,5,1
45,0,0.00,0.00,1,0.262062,0,0,2
46,18,178.00,0.00,1,0.261275,0,4,1
47,0,0.00,0.00,1,0.260492,0,0,2
48,1,200.00,0.00,1,0.259710,0,0,1
49,0,0.00,0.00,1,0.258931,0,0,2
50,2,199.00,0.00,1,0.258154,0,1,1
51,0,0.00,0.00,1,0.257380,0,0,2
52,1,200.00,0.00,1,0.256608,0,0,1
53,0,0.00,0.00,1,0.255838,0,0,2
54,1,200.00,0.00,1,0.255070,0,0,1
55,0,0.00,0.00,1,0.254305,0,0,2
56,1,200.00,0.00,1,0.253542,0,0,1
57,0,0.00,0.00,1,0.252781,0,0,2
58,1,200.00,0.00,1,0.252023,0,0,1
59,0,0.00,0.00,1,0.251267,0,0,2
60,2,194.00,0.00,1,0.250513,0,1,1
61,0,0.00,0.00,1,0.249762,0,0,2
62,1,200.00,0.00,1,0.249012,0,0,1
63,0,0.00,0.00,1,0.248265,0,0,2
64,2,199.00,0.00,1,0.247521,0,0,1
65,0,0.00,0.00,1,0.246778,0,0,2
66,2,199.00,0.00,1,0.246038,0,0,1
67,0,0.00,0.00,1,0.245300,0,0,2
68,18,173.00,0.00,1,0.244564,0,3,1
69,0,0.00,0.00,1,0.243830,0,0,2
70,11,185.00,0.00,1,0.243099,0,1,1
71,0,0.00,0.00,1,0.242369,0,0,2
72,1,200.00,0.00,1,0.241642,0,0,1
73,0,0.00,0.00,1,0.240917,0,0,2
74,1,200.00,0.00,1,0.240194,0,0,1
75,0,0.00,0.00,1,0.239474,0,0,2
76,1,200.00,0.00,1,0.238755,0,0,1
77,0,0.00,0.00,1,0.238039,0,0,2
78,1,200.00,0.00,1,0.237325,0,0,1
79,0,0.00,0.00,1,0.236613,0,0,2
80,1,200.00,0.00,1,0.235903,0,0,1
81,0,0.00,0.00,1,0.235196,0,0,2
