StateIndex,SetAuxA=OFF,SetAuxA=ON,SetAuxB=OFF,SetAuxB=ON,SetBreaker=OFF,SetBreaker=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
0,33.16,-0.49,36.09,2.88,28.06,14.92,4.15,4.15,14.85,141.10,10.40
1,-0.30,-0.27,38.80,-0.20,-2.09,-1.10,-1.10,-2.09,-2.07,-1.10,-0.60
2,-0.21,-0.19,-0.20,-0.27,-2.09,-1.10,-1.10,-2.09,-1.10,-2.09,-0.60
3,-0.21,-0.10,-0.10,-0.10,-1.10,-0.70,0.00,-1.10,-1.10,0.00,-0.60
4,0.61,4.33,36.16,151.10,30.90,-2.09,10.68,2.79,10.31,-1.10,13.00
5,63.17,0.63,11.88,36.51,-2.11,0.00,14.11,169.00,13.09,2.28,-0.60
6,-0.12,-0.19,-0.10,-0.04,-1.10,-1.10,-1.10,-1.10,-1.10,34.18,-0.60
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.42,0.00
8,21.07,0.16,13.23,151.10,11.48,-2.96,28.64,8.51,-2.09,-1.10,-0.82
9,27.79,-0.19,11.90,-0.10,37.67,169.00,-1.31,25.24,25.87,-1.10,0.00
10,-0.10,-0.10,-0.10,-0.10,-1.10,14.30,-1.10,-1.10,-2.09,-0.29,-0.60
11,15.02,-0.20,-0.10,-0.20,-1.10,-1.10,-1.10,-1.10,-1.10,-1.10,-0.60
12,0.00,52.96,0.00,-0.10,-1.10,0.00,-1.12,0.00,-1.10,0.00,-0.60
13,75.70,13.01,6.27,32.96,0.00,15.91,36.61,16.90,94.13,200.00,69.45
14,0.00,0.00,0.00,1.70,0.00,-1.10,0.00,0.00,-1.10,143.51,-0.60
15,0.00,0.00,0.00,0.00,-1.10,0.00,0.00,-1.10,0.00,81.90,0.00
16,69.83,-0.14,83.91,1.17,44.68,169.00,66.85,15.41,20.69,14.11,92.04
17,0.00,-0.10,28.67,-0.10,0.00,0.00,-2.09,-1.10,0.00,-1.10,-0.60
18,0.00,0.00,-0.10,-0.10,-1.10,-0.29,0.00,5.87,-2.09,-1.10,-0.60
19,0.00,0.00,0.00,-0.10,-1.10,1.33,-1.10,0.00,0.00,-1.10,0.00
20,67.95,33.74,66.30,20.85,74.61,57.34,76.30,200.00,24.60,48.36,67.20
21,0.00,0.00,93.38,0.00,0.00,-1.10,0.00,0.00,0.00,0.00,0.00
22,0.00,0.00,0.00,0.00,-1.10,-1.10,0.00,143.51,0.00,11.25,0.00
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.71,0.00,0.00,-0.60
24,0.00,0.00,0.00,-0.10,-1.10,93.71,-0.83,-1.10,0.00,-1.10,0.00
25,0.00,0.00,-0.10,0.00,0.00,0.00,-1.10,0.00,-1.10,-1.10,0.00
26,0.00,0.00,0.00,-0.10,0.00,68.78,0.00,0.00,0.00,0.00,0.00
27,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,-1.10,0.00,0.00
