StateIndex,SetAwning=OFF,SetAwning=ON,SetStrongLamp=OFF,SetStrongLamp=ON,SetWeakLamp=OFF,SetWeakLamp=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,DO_NOTHING
0,16.89,-0.29,31.24,191.10,23.85,20.00,0.70,1.36,-0.60
1,0.00,-1.10,0.00,29.98,0.00,0.00,0.00,0.00,0.00
2,-1.10,0.00,0.00,0.00,31.35,0.00,16.90,200.00,-0.60
3,0.00,0.00,0.00,0.00,-1.10,0.00,0.00,57.65,-0.60
4,0.31,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
5,-1.10,0.00,-1.10,0.00,-1.10,20.00,0.00,0.00,0.00
6,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,0.00,45.79,0.00,0.00
12,0.00,0.00,0.00,3.90,-1.10,0.00,0.00,-1.10,-0.60
13,0.00,0.00,0.00,3.90,-1.10,0.00,0.00,-1.10,-0.60
73,43.77,0.00,0.00,6.62,30.77,200.00,-6.10,13.19,0.00
78,38.00,32.04,13.90,-0.10,16.34,200.00,-4.10,15.85,30.22
203,15.89,200.00,18.99,-1.10,0.00,0.00,-5.91,15.02,10.43
218,0.00,0.00,0.00,-1.10,0.00,0.00,0.00,0.00,0.00
224,13.86,3.14,36.02,22.30,28.56,169.00,9.16,-3.15,55.95
225,-3.28,-3.78,-6.39,-3.04,-2.19,169.00,-3.01,-2.01,15.04
226,-2.19,-2.14,-2.30,-2.19,-2.19,-2.09,-1.10,15.89,-1.19
228,56.65,-1.10,-4.10,0.00,-1.10,-1.10,0.00,-3.04,-1.14
229,-1.10,-1.10,-4.10,0.00,-1.10,2.32,-1.10,-2.09,0.00
230,-1.10,-1.10,-3.75,-2.19,-1.10,-0.29,-2.09,-1.10,-1.19
232,-2.09,-1.10,-4.10,-1.10,0.00,-1.10,18.76,-1.10,0.00
233,-1.10,-1.10,59.41,-1.10,0.00,-1.10,-1.10,0.00,-0.60
234,15.91,4.39,200.00,7.33,-1.10,-2.09,-3.88,29.59,0.00
235,-1.10,0.00,16.87,-1.10,-1.10,0.00,0.00,0.00,-0.60
236,-1.10,-1.10,-4.10,-2.19,-2.19,-0.29,-1.10,-1.10,-1.77
237,-0.35,0.00,-4.10,0.00,-2.09,-1.10,-1.10,0.00,0.00
238,-1.10,-1.10,60.70,-1.10,-1.10,-1.10,-1.10,-1.10,-0.60
240,15.91,11.87,200.00,22.67,70.13,62.17,41.79,2.06,28.87
241,9.63,3.52,200.00,0.00,0.00,5.09,-1.10,-2.03,17.40
242,0.00,-1.10,20.00,-1.10,-2.24,-1.10,-1.10,0.00,-0.60
244,13.19,-1.10,81.90,0.00,0.00,0.00,0.00,-1.10,0.00
245,0.00,0.00,68.78,0.00,0.00,0.00,0.00,0.00,0.00
246,-1.10,-1.10,38.00,-1.10,0.00,-1.10,0.00,0.00,0.00
248,0.00,-1.10,54.20,0.00,0.00,-1.10,-1.10,-1.10,0.00
249,-1.10,2.95,0.00,0.00,-1.10,0.00,0.00,-1.10,0.00
250,0.00,0.00,-1.10,-1.10,-1.10,-2.09,-1.10,0.00,-1.14
252,-1.10,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00
253,0.00,0.00,54.20,0.00,0.00,0.70,0.00,-1.10,-0.60
254,0.00,0.00,0.00,0.00,-1.10,0.00,0.00,0.00,-0.60
