StateIndex,SetAwning=OFF,SetAwning=ON,SetStrongLamp=OFF,SetStrongLamp=ON,SetWeakLamp=OFF,SetWeakLamp=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,DO_NOTHING
0,2,5,1,0,3,297,1,2,2
1,0,1,0,0,0,4,0,0,0
2,3,1,2,0,1,5,2,298,1
3,0,1,0,2,0,0,0,0,0
4,3,1,0,0,0,0,0,2,0
5,0,0,0,0,0,0,0,1,0
6,0,1,0,4,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0
8,0,0,0,4,1,0,0,0,0
12,1,0,0,0,0,1,0,0,0
13,7,0,0,0,0,0,0,0,1
73,3,6,3,7,1,587,3,7,6
78,1,2,2,0,1,297,3,3,2
203,2,296,1,0,0,2,2,2,1
218,0,0,0,0,0,0,1,0,0
219,0,0,0,0,0,0,2,0,0
224,2,1,1,1,2,302,3,2,1
225,0,4,2,1,3,4,3,294,4
226,0,0,4,0,0,0,0,1,0
227,0,1,1,0,0,0,0,1,1
228,1,0,0,0,0,1,0,0,0
229,1,0,0,2,1,4,0,0,1
230,3,0,0,0,1,1,0,1,0
231,0,0,0,0,0,0,0,1,1
232,0,2,1,1,0,2,2,0,2
233,0,2,296,0,1,2,2,2,1
234,3,2,298,0,1,0,2,5,2
235,0,0,0,0,0,0,1,0,1
236,1,0,0,0,0,1,1,0,0
237,0,0,0,0,0,1,1,0,0
238,1,0,1,0,0,0,1,0,1
239,0,0,0,0,0,1,0,0,1
240,1,2,298,1,3,2,0,1,3
241,1,1,1,0,1,0,0,1,1
242,0,0,0,0,0,0,0,1,0
244,1,0,2,1,0,0,0,0,0
245,0,1,5,0,0,0,0,0,1
246,1,0,0,0,0,0,0,0,1
248,0,1,1,0,0,1,1,0,0
249,0,0,3,0,1,0,0,0,0
250,1,0,1,0,0,0,0,0,0
252,0,0,1,0,1,1,0,0,1
253,1,0,0,0,0,0,0,0,0
255,0,0,1,0,0,0,0,0,0
