StateIndex,SetAwning=OFF,SetAwning=ON,SetStrongLamp=OFF,SetStrongLamp=ON,SetWeakLamp=OFF,SetWeakLamp=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,DO_NOTHING
0,-8.39,-0.91,-28.10,0.00,-3.96,200.00,-35.85,-0.82,2.28
1,-50.00,-1.10,-50.00,0.00,-50.00,68.78,-50.00,0.00,0.00
2,9.35,-0.43,-37.71,0.00,-28.40,81.90,-10.63,200.00,14.40
3,-50.00,-1.10,-50.00,7.41,-50.00,0.00,-50.00,0.00,0.00
4,38.72,-46.10,-50.00,0.00,-50.00,0.00,-50.00,-2.09,0.00
5,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,-0.75,0.00
6,0.00,-46.10,-50.00,13.52,-50.00,0.00,-50.00,0.00,0.00
7,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,20.00,0.00
8,-50.00,0.00,-50.00,13.36,-46.10,0.00,0.00,-50.00,0.00
9,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
10,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
11,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
12,-1.10,-50.00,-50.00,0.00,-50.00,20.00,0.00,-50.00,0.00
13,96.53,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,-0.60
14,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
15,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
16,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
17,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
18,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
19,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
20,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
21,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
22,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
23,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
24,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
25,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
26,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
27,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
28,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
29,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
30,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
31,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
32,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
33,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
34,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
35,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
36,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
37,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
38,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
39,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
40,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
41,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
42,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
43,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
44,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
45,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
46,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
47,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
48,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
49,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
50,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
51,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
52,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
53,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
