StateIndex,SetAirPurifier=OFF,SetAirPurifier=ON,SetCooler=OFF,SetCooler=ON,SetDehumidifier=OFF,SetDehumidifier=ON,SetFan=OFF,SetFan=ON,SetHeater=OFF,SetHeater=ON,SetHumidifier=OFF,SetHumidifier=ON,SetSpeaker=OFF,SetSpeaker=ON,SetWhiteNoiseUnit=OFF,SetWhiteNoiseUnit=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
0,5,4,5,9,3,5,3,6,0,3,2,5,5,2,3,2,3,1470,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
3,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2
4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1
11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
24,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1
33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
72,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
124,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
128,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
193,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
