StateIndex,SetAuxA=OFF,SetAuxA=ON,SetAuxB=OFF,SetAuxB=ON,SetBreaker=OFF,SetBreaker=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
0,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
1,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
2,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
3,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
4,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
5,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
6,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
7,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
8,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
9,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
10,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
11,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
12,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
13,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
14,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
15,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
16,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
17,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
18,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
19,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
20,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
21,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
22,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
23,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
24,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
25,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
26,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
27,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
28,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
29,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
30,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
31,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
32,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
