StateIndex,SetAwning=OFF,SetAwning=ON,SetStrongLamp=OFF,SetStrongLamp=ON,SetWeakLamp=OFF,SetWeakLamp=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,DO_NOTHING
0,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
1,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
2,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
3,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
4,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
5,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
6,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
7,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
8,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
9,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
10,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
11,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
12,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
13,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
14,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
15,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
16,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
17,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
18,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
19,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
20,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
21,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
22,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
23,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
24,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
25,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
26,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
27,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
28,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
29,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
30,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
31,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
32,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
33,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
34,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
35,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
36,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
37,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
38,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
39,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
40,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
41,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
42,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
43,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
44,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
45,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
46,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
47,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
48,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
49,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
50,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
51,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
52,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
53,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
54,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
55,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
56,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
57,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
58,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
59,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
60,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
61,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
62,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
63,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
64,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
65,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
66,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
67,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
68,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
69,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
70,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
71,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
72,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
73,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
74,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
75,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
76,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
