Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
0,20,-160.00,0.00,0,0.300000,17,12,1
1,20,-155.00,0.00,0,0.299100,16,8,2
2,13,88.00,0.00,1,0.298203,9,7,5
3,20,-180.00,0.00,0,0.297308,18,9,6
4,0,0.00,0.00,1,0.296416,0,0,8
5,3,183.00,0.00,1,0.295527,1,2,9
6,20,-29.00,0.00,1,0.294640,17,11,10
7,1,200.00,0.00,1,0.293756,0,0,12
8,4,167.00,0.00,1,0.292875,3,3,13
9,0,0.00,0.00,1,0.291997,0,0,15
10,16,90.00,0.00,1,0.291121,10,8,1
11,7,139.00,0.00,1,0.290247,5,3,2
12,1,200.00,0.00,1,0.289376,0,0,5
13,5,161.00,0.00,1,0.288508,3,3,6
14,0,0.00,0.00,1,0.287643,0,0,8
15,1,200.00,0.00,1,0.286780,0,0,9
16,15,56.00,0.00,1,0.285920,12,8,10
17,1,200.00,0.00,1,0.285062,0,0,12
18,1,200.00,0.00,1,0.284207,0,0,13
19,0,0.00,0.00,1,0.283354,0,0,15
20,13,123.00,0.00,1,0.282504,10,7,1
21,2,189.00,0.00,1,0.281656,1,0,2
22,1,200.00,0.00,1,0.280811,0,0,5
23,3,178.00,0.00,1,0.279969,2,1,6
24,0,0.00,0.00,1,0.279129,0,0,8
25,1,200.00,0.00,1,0.278292,0,0,9
26,1,200.00,0.00,1,0.277457,0,0,10
27,1,200.00,0.00,1,0.276624,0,0,12
28,2,189.00,0.00,1,0.275795,1,1,13
29,0,0.00,0.00,1,0.274967,0,0,15
30,7,194.00,0.00,1,0.274142,3,4,1
31,2,189.00,0.00,1,0.273320,1,0,2
32,2,189.00,0.00,1,0.272500,1,1,5
33,13,98.00,0.00,1,0.271682,9,7,6
34,0,0.00,0.00,1,0.270867,0,0,8
35,1,200.00,0.00,1,0.270055,0,0,9
36,1,200.00,0.00,1,0.269245,0,0,10
37,1,200.00,0.00,1,0.268437,0,0,12
38,1,200.00,0.00,1,0.267632,0,0,13
39,0,0.00,0.00,1,0.266829,0,0,15
40,9,162.00,0.00,1,0.266028,7,1,1
41,2,189.00,0.00,1,0.265230,1,0,2
42,1,200.00,0.00,1,0.264434,0,0,5
43,6,145.00,0.00,1,0.263641,5,2,6
44,0,0.00,0.00,1,0.262850,0,0,8
45,1,200.00,0.00,1,0.262062,0,0,9
46,1,200.00,0.00,1,0.261275,0,0,10
47,1,200.00,0.00,1,0.260492,0,0,12
48,1,200.00,0.00,1,0.259710,0,0,13
49,0,0.00,0.00,1,0.258931,0,0,15
50,4,217.00,0.00,1,0.258154,2,1,1
51,4,187.00,0.00,1,0.257380,2,0,2
52,1,200.00,0.00,1,0.256608,0,0,5
53,3,178.00,0.00,1,0.255838,2,1,6
54,0,0.00,0.00,1,0.255070,0,0,8
55,1,200.00,0.00,1,0.254305,0,0,9
56,1,200.00,0.00,1,0.253542,0,0,10
57,1,200.00,0.00,1,0.252781,0,0,12
58,1,200.00,0.00,1,0.252023,0,0,13
59,0,0.00,0.00,1,0.251267,0,0,15
60,4,217.00,0.00,1,0.250513,2,1,1
61,9,132.00,0.00,1,0.249762,7,3,2
62,1,200.00,0.00,1,0.249012,0,0,5
63,3,188.00,0.00,1,0.248265,1,0,6
64,0,0.00,0.00,1,0.247521,0,0,8
65,1,200.00,0.00,1,0.246778,0,0,9
66,1,200.00,0.00,1,0.246038,0,0,10
67,1,200.00,0.00,1,0.245300,0,0,12
68,1,200.00,0.00,1,0.244564,0,0,13
69,0,0.00,0.00,1,0.243830,0,0,15
70,5,206.00,0.00,1,0.243099,3,1,1
71,2,189.00,0.00,1,0.242369,1,0,2
72,1,200.00,0.00,1,0.241642,0,0,5
73,4,167.00,0.00,1,0.240917,3,0,6
74,0,0.00,0.00,1,0.240194,0,0,8
75,1,200.00,0.00,1,0.239474,0,0,9
76,2,189.00,0.00,1,0.238755,1,1,10
77,1,200.00,0.00,1,0.238039,0,0,12
78,1,200.00,0.00,1,0.237325,0,0,13
79,0,0.00,0.00,1,0.236613,0,0,15
80,3,228.00,0.00,1,0.235903,1,0,1
81,2,189.00,0.00,1,0.235196,1,0,2
82,1,200.00,0.00,1,0.234490,0,0,5
83,3,178.00,0.00,1,0.233786,2,1,6
84,0,0.00,0.00,1,0.233085,0,0,8
85,1,200.00,0.00,1,0.232386,0,0,9
86,1,200.00,0.00,1,0.231689,0,0,10
87,1,200.00,0.00,1,0.230994,0,0,12
88,1,200.00,0.00,1,0.230301,0,0,13
89,0,0.00,0.00,1,0.229610,0,0,15
90,4,217.00,0.00,1,0.228921,2,1,1
91,3,178.00,0.00,1,0.228234,2,0,2
92,4,187.00,0.00,1,0.227549,2,0,5
93,2,189.00,0.00,1,0.226867,1,0,6
94,0,0.00,0.00,1,0.226186,0,0,8
95,1,200.00,0.00,1,0.225508,0,0,9
96,1,200.00,0.00,1,0.224831,0,0,10
97,1,200.00,0.00,1,0.224157,0,0,12
98,2,194.00,0.00,1,0.223484,0,1,13
99,0,0.00,0.00,1,0.222814,0,0,15
100,4,217.00,0.00,1,0.222145,2,1,1
101,11,100.00,0.00,1,0.221479,8,5,2
102,1,200.00,0.00,1,0.220814,0,0,5
103,2,189.00,0.00,1,0.220152,1,0,6
104,0,0.00,0.00,1,0.219492,0,0,8
105,1,200.00,0.00,1,0.218833,0,0,9
106,1,200.00,0.00,1,0.218177,0,0,10
107,1,200.00,0.00,1,0.217522,0,0,12
108,1,200.00,0.00,1,0.216869,0,0,13
109,0,0.00,0.00,1,0.216219,0,0,15
110,3,228.00,0.00,1,0.215570,1,0,1
111,8,128.00,0.00,1,0.214923,6,2,2
112,1,200.00,0.00,1,0.214279,0,0,5
113,6,155.00,0.00,1,0.213636,4,1,6
114,0,0.00,0.00,1,0.212995,0,0,8
115,1,200.00,0.00,1,0.212356,0,0,9
116,1,200.00,0.00,1,0.211719,0,0,10
117,1,200.00,0.00,1,0.211084,0,0,12
118,1,200.00,0.00,1,0.210450,0,0,13
119,0,0.00,0.00,1,0.209819,0,0,15
120,8,173.00,0.00,1,0.209190,6,1,1
121,3,178.00,0.00,1,0.208562,2,1,2
122,1,200.00,0.00,1,0.207936,0,0,5
123,2,189.00,0.00,1,0.207313,1,0,6
124,0,0.00,0.00,1,0.206691,0,0,8
125,1,200.00,0.00,1,0.206071,0,0,9
126,1,200.00,0.00,1,0.205452,0,0,10
127,1,200.00,0.00,1,0.204836,0,0,12
