Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
0,4,177.00,0.00,1,0.300000,2,0,1
1,11,120.00,0.00,1,0.299100,7,3,2
2,3,188.00,0.00,1,0.298203,1,1,3
3,3,178.00,0.00,1,0.297308,2,1,4
4,1,200.00,0.00,1,0.296416,0,0,6
5,0,0.00,0.00,1,0.295527,0,0,8
6,5,171.00,0.00,1,0.294640,2,1,1
7,2,189.00,0.00,1,0.293756,1,0,2
8,3,188.00,0.00,1,0.292875,1,0,3
9,2,189.00,0.00,1,0.291997,1,0,4
10,2,199.00,0.00,1,0.291121,0,1,6
11,0,0.00,0.00,1,0.290247,0,0,8
12,3,178.00,0.00,1,0.289376,2,0,1
13,9,117.00,0.00,1,0.288508,7,3,2
14,2,189.00,0.00,1,0.287643,1,0,3
15,2,189.00,0.00,1,0.286780,1,0,4
16,1,200.00,0.00,1,0.285920,0,0,6
17,0,0.00,0.00,1,0.285062,0,0,8
18,3,178.00,0.00,1,0.284207,2,0,1
19,2,189.00,0.00,1,0.283354,1,0,2
20,2,189.00,0.00,1,0.282504,1,0,3
21,2,189.00,0.00,1,0.281656,1,0,4
22,1,200.00,0.00,1,0.280811,0,0,6
23,0,0.00,0.00,1,0.279969,0,0,8
24,3,178.00,0.00,1,0.279129,2,0,1
25,2,189.00,0.00,1,0.278292,1,0,2
26,4,182.00,0.00,1,0.277457,1,1,3
27,3,178.00,0.00,1,0.276624,2,1,4
28,1,200.00,0.00,1,0.275795,0,0,6
29,0,0.00,0.00,1,0.274967,0,0,8
30,6,165.00,0.00,1,0.274142,3,1,1
31,3,188.00,0.00,1,0.273320,1,1,2
32,5,166.00,0.00,1,0.272500,3,3,3
33,2,189.00,0.00,1,0.271682,1,0,4
34,1,200.00,0.00,1,0.270867,0,0,6
35,0,0.00,0.00,1,0.270055,0,0,8
36,5,166.00,0.00,1,0.269245,3,2,1
37,2,189.00,0.00,1,0.268437,1,0,2
38,2,189.00,0.00,1,0.267632,1,0,3
39,4,167.00,0.00,1,0.266829,3,0,4
40,1,200.00,0.00,1,0.266028,0,0,6
41,0,0.00,0.00,1,0.265230,0,0,8
42,3,178.00,0.00,1,0.264434,2,0,1
43,3,178.00,0.00,1,0.263641,2,1,2
44,3,183.00,0.00,1,0.262850,1,1,3
45,2,189.00,0.00,1,0.262062,1,0,4
46,3,188.00,0.00,1,0.261275,1,2,6
47,0,0.00,0.00,1,0.260492,0,0,8
48,5,166.00,0.00,1,0.259710,3,1,1
49,2,189.00,0.00,1,0.258931,1,0,2
50,3,178.00,0.00,1,0.258154,2,1,3
51,3,188.00,0.00,1,0.257380,1,1,4
52,1,200.00,0.00,1,0.256608,0,0,6
53,0,0.00,0.00,1,0.255838,0,0,8
54,3,178.00,0.00,1,0.255070,2,0,1
55,3,178.00,0.00,1,0.254305,2,1,2
56,6,165.00,0.00,1,0.253542,3,3,3
57,2,189.00,0.00,1,0.252781,1,0,4
58,2,199.00,0.00,1,0.252023,0,1,6
59,0,0.00,0.00,1,0.251267,0,0,8
60,4,167.00,0.00,1,0.250513,3,1,1
61,3,188.00,0.00,1,0.249762,1,0,2
62,2,189.00,0.00,1,0.249012,1,0,3
63,3,188.00,0.00,1,0.248265,1,0,4
64,1,200.00,0.00,1,0.247521,0,0,6
65,0,0.00,0.00,1,0.246778,0,0,8
66,3,178.00,0.00,1,0.246038,2,0,1
67,4,167.00,0.00,1,0.245300,3,0,2
68,2,189.00,0.00,1,0.244564,1,0,3
69,2,189.00,0.00,1,0.243830,1,0,4
70,1,200.00,0.00,1,0.243099,0,0,6
71,0,0.00,0.00,1,0.242369,0,0,8
72,3,178.00,0.00,1,0.241642,2,0,1
73,2,189.00,0.00,1,0.240917,1,0,2
74,2,189.00,0.00,1,0.240194,1,0,3
75,3,188.00,0.00,1,0.239474,1,0,4
76,2,194.00,0.00,1,0.238755,0,1,6
77,0,0.00,0.00,1,0.238039,0,0,8
78,4,172.00,0.00,1,0.237325,2,1,1
79,3,183.00,0.00,1,0.236613,1,1,2
80,6,165.00,0.00,1,0.235903,3,1,3
81,3,183.00,0.00,1,0.235196,1,1,4
82,1,200.00,0.00,1,0.234490,0,0,6
83,0,0.00,0.00,1,0.233786,0,0,8
84,3,178.00,0.00,1,0.233085,2,0,1
85,6,160.00,0.00,1,0.232386,3,1,2
86,2,189.00,0.00,1,0.231689,1,0,3
87,2,189.00,0.00,1,0.230994,1,0,4
88,1,200.00,0.00,1,0.230301,0,0,6
89,0,0.00,0.00,1,0.229610,0,0,8
90,6,170.00,0.00,1,0.228921,2,2,1
91,3,178.00,0.00,1,0.228234,2,1,2
92,2,189.00,0.00,1,0.227549,1,0,3
93,2,189.00,0.00,1,0.226867,1,0,4
94,1,200.00,0.00,1,0.226186,0,0,6
95,0,0.00,0.00,1,0.225508,0,0,8
96,4,167.00,0.00,1,0.224831,3,1,1
97,2,189.00,0.00,1,0.224157,1,0,2
98,2,189.00,0.00,1,0.223484,1,0,3
99,2,189.00,0.00,1,0.222814,1,0,4
100,1,200.00,0.00,1,0.222145,0,0,6
