StateIndex,SetAuxA=OFF,SetAuxA=ON,SetAuxB=OFF,SetAuxB=ON,SetBreaker=OFF,SetBreaker=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
0,14.39,6.13,-16.56,5.14,-50.00,141.10,-19.16,-11.95,-50.00,-50.00,42.74
1,-50.00,1.93,0.00,-50.00,-50.00,23.54,-50.00,-50.00,-50.00,-50.00,0.00
2,7.65,-50.00,-50.00,0.00,-50.00,23.09,-44.20,-50.00,-50.00,-50.00,0.00
3,0.00,-50.00,0.00,-50.00,-50.00,21.18,-50.00,-50.00,-50.00,-50.00,0.00
4,51.20,13.54,32.34,15.97,2.06,1.81,14.88,169.00,32.29,8.31,76.43
5,-41.79,0.00,0.00,-50.00,1.71,-50.00,-50.00,68.74,-50.00,-50.00,0.00
6,0.00,-50.00,-50.00,0.00,0.93,-50.00,-50.00,63.65,-50.00,-50.00,1.50
7,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,21.18,-50.00,-50.00,0.00
8,-29.89,0.00,-10.72,3.93,11.92,169.00,35.24,-50.00,-30.91,30.72,24.85
9,-50.00,0.00,0.00,-50.00,-50.00,34.84,0.00,-50.00,-44.08,22.50,0.00
10,0.00,-50.00,-50.00,0.00,-50.00,22.50,0.00,-50.00,-50.00,22.50,0.00
11,0.00,-50.00,0.00,-50.00,-50.00,22.50,0.00,-50.00,-50.00,22.50,0.00
12,67.41,50.18,83.23,28.78,46.60,20.15,57.55,62.17,22.58,200.00,69.98
13,-38.75,0.00,13.84,-36.53,0.00,-50.00,0.93,-50.00,-39.75,159.39,10.69
14,1.93,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,163.45,0.00
15,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,40.25,0.00
16,3.23,8.99,-5.44,1.93,-13.71,169.00,-36.56,-31.68,29.19,-10.27,15.70
17,-50.00,0.00,0.00,-50.00,-50.00,24.21,-50.00,-50.00,0.00,-50.00,0.00
18,0.00,-50.00,-50.00,0.00,-44.08,33.96,-44.30,-50.00,0.00,-43.71,0.00
19,0.00,-50.00,0.00,-50.00,-50.00,22.50,-50.00,-50.00,0.00,-50.00,0.00
20,6.37,38.84,-18.14,5.26,24.91,21.23,25.31,200.00,12.70,-11.05,45.64
21,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,70.60,0.00,-50.00,0.00
22,0.00,-50.00,-50.00,1.93,0.00,-50.00,-50.00,131.23,0.81,-50.00,0.00
23,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,40.25,0.00,-50.00,0.00
24,-50.00,0.00,-50.00,0.00,-50.00,105.67,0.00,-50.00,0.00,-50.00,0.00
25,-50.00,0.00,0.00,-50.00,-50.00,22.50,0.00,-50.00,0.00,-50.00,0.00
26,0.00,-50.00,-50.00,0.00,-50.00,22.50,0.00,-50.00,0.00,-50.00,0.00
27,0.00,-50.00,0.00,-50.00,-50.00,22.50,0.00,-50.00,0.00,-50.00,0.00
28,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
29,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
30,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
31,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
32,-50.00,0.00,-50.00,0.00,-50.00,15.00,-50.00,-50.00,-50.00,-50.00,0.00
33,-50.00,0.00,0.00,-50.00,-50.00,15.00,-50.00,-50.00,-50.00,-50.00,0.00
34,0.00,-50.00,-50.00,0.00,-50.00,15.00,-50.00,-50.00,-50.00,-50.00,0.00
35,0.00,-50.00,0.00,-50.00,-50.00,15.00,-50.00,-50.00,-50.00,-50.00,0.00
36,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,15.00,-50.00,-50.00,0.00
37,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,15.00,-50.00,-50.00,0.00
