StateIndex,SetAuxA=OFF,SetAuxA=ON,SetAuxB=OFF,SetAuxB=ON,SetBreaker=OFF,SetBreaker=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetZ1Light=OFF,SetZ1Light=ON,DO_NOTHING
0,5,4,2,3,0,502,2,3,0,0,5
1,0,1,0,0,0,4,0,0,0,0,0
2,1,0,0,0,0,4,1,0,0,0,0
3,0,0,0,0,0,1,0,0,0,0,0
4,7,6,5,5,2,4,5,992,6,3,9
5,1,0,0,0,2,0,0,8,0,0,0
6,0,0,0,0,1,0,0,10,0,0,1
7,0,0,0,0,0,0,0,1,0,0,0
8,1,0,3,2,4,497,4,0,1,4,2
9,0,0,0,0,0,2,0,0,1,0,0
12,7,6,9,6,4,4,5,7,4,1470,5
13,1,0,1,1,0,0,1,0,1,14,2
14,1,0,0,0,0,0,0,0,0,15,0
15,0,0,0,0,0,0,0,0,0,1,0
16,3,6,3,1,2,488,2,2,5,3,2
17,0,0,0,0,0,1,0,0,0,0,0
18,0,0,0,0,1,6,1,0,0,1,0
20,3,5,2,2,2,4,4,981,1,2,3
21,0,0,0,0,0,0,0,3,0,0,0
22,0,0,0,1,0,0,0,9,1,0,0
23,0,0,0,0,0,0,0,1,0,0,0
24,0,0,0,0,0,6,0,0,0,0,0
