profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
custom3,ql_false,140,0.02142857142857143,19.757142857142856,51.6,230.24285714285713,19.67142857142857,5,0,483,0,0
custom3,ql_true,140,0.2642857142857143,16.507142857142856,47.75,145.52857142857144,16.37142857142857,6,0,580,0,2
custom3,rule_based,140,0.17857142857142858,17.142857142857142,68.25,123.07857142857142,16.757142857142856,0,0,0,0,0
custom3,training_stereo_false,,,,,,,0,0,0,0,0
custom3,training_stereo_true,,,,,,,0,0,0,0,0
custom5,ql_false,140,0.02857142857142857,19.735714285714284,51.02142857142857,317.52142857142854,19.642857142857142,1,0,426,0,1
custom5,ql_true,140,0.07142857142857142,18.90714285714286,42.98571428571429,211.92142857142858,18.75,8,0,627,0,2
custom5,rule_based,140,0.25,15.964285714285714,60.714285714285715,152.15,15.564285714285715,0,0,0,0,0
custom5,training_stereo_false,,,,,,,0,0,0,0,0
custom5,training_stereo_true,,,,,,,0,0,0,0,0
custom9,ql_false,140,0.07857142857142857,18.892857142857142,48.57857142857143,155.70714285714286,18.82857142857143,0,0,613,0,0
custom9,ql_true,140,0.07142857142857142,18.785714285714285,55.82857142857143,133.44285714285715,18.57857142857143,0,0,989,0,3
custom9,rule_based,140,0.25,15.642857142857142,70.07142857142857,79.05714285714286,15.35,0,0,0,0,0
custom9,training_stereo_false,,,,,,,0,0,0,0,0
custom9,training_stereo_true,,,,,,,0,0,0,0,0
