profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
custom3,ql_false,140,0.02142857142857143,19.757142857142856,51.6,229.65,19.65714285714286,8,0,484,0,0
custom3,ql_true,140,0.2642857142857143,16.507142857142856,47.75,144.45714285714286,16.45,0,0,581,0,3
custom3,rule_based,140,0.17857142857142858,17.142857142857142,68.25,123.65714285714286,16.664285714285715,0,0,0,0,0
custom3,training_stereo_false,,,,,,,0,0,0,0,0
custom3,training_stereo_true,,,,,,,0,0,0,0,0
custom5,ql_false,140,0.02857142857142857,19.735714285714284,51.02142857142857,322.8357142857143,19.635714285714286,5,0,429,0,3
custom5,ql_true,140,0.07142857142857142,18.90714285714286,42.98571428571429,231.12857142857143,18.75,4,0,621,0,4
custom5,rule_based,140,0.25,15.964285714285714,60.714285714285715,153.8,15.542857142857143,0,0,0,0,0
custom5,training_stereo_false,,,,,,,0,0,0,0,0
custom5,training_stereo_true,,,,,,,0,0,0,0,0
custom9,ql_false,140,0.07857142857142857,18.892857142857142,48.57857142857143,159.78571428571428,18.82857142857143,0,0,612,0,0
custom9,ql_true,140,0.07142857142857142,18.785714285714285,55.82857142857143,118.05,18.707142857142856,0,0,996,0,1
custom9,rule_based,140,0.25,15.642857142857142,70.07142857142857,77.87857142857143,15.185714285714285,0,0,0,0,0
custom9,training_stereo_false,,,,,,,0,0,0,0,0
custom9,training_stereo_true,,,,,,,0,0,0,0,0
